Estabel;Item;Refer;Descrição;Nr Ordem;Data Emissão;Data Término;Estado;Qt Prevista;Qt Produzida;ACA sem REQ;REQ sem ACA;ACA sem GGF;GGF sem ACA;ACA sem MOB;MOB sem ACA;RRQ Sem REQ Item cor.;Restrição GGF/MOB;Últ Movto;Sem movto há 30 dias;Tipo
200;26000608;;CQ-3060 BULK;64626;20/03/2024;26/03/2024;Finalizada;2800;2905;Não;Não;Não;Não;Sim;Não;Não;Não;02/04/2024;Não;Bulk
200;26000608;;CQ-3060 BULK;64641;26/03/2024;31/03/2024;Finalizada;2800;2800;Não;Não;Não;Não;Sim;Não;Não;Não;04/04/2024;Não;Bulk
200;26000608;;CQ-3060 BULK;64721;14/03/2024;21/03/2024;Finalizada;2800;2875;Não;Não;Não;Não;Sim;Não;Não;Não;03/04/2024;Não;Bulk
200;26000609;;CQ-3061 BULK;65047;19/03/2024;25/03/2024;Finalizada;2600;2685;Não;Não;Não;Não;Sim;Não;Não;Não;01/04/2024;Não;Bulk
200;26000609;;CQ-3061 BULK;65048;19/03/2024;25/03/2024;Finalizada;2800;2925;Não;Não;Não;Não;Sim;Não;Não;Não;02/04/2024;Não;Bulk
200;26000003;;ADHM-200 BULK;65090;19/03/2024;28/03/2024;Finalizada;2000;1680;Não;Não;Não;Não;Sim;Não;Não;Não;01/04/2024;Não;Bulk
200;26000973;;R-066 BULK;65113;20/03/2024;29/03/2024;Finalizada;5600;5550;Não;Não;Não;Não;Sim;Não;Não;Não;05/04/2024;Não;Bulk
200;26001095;;CQ-7150 BULK;65166;20/03/2024;30/03/2024;Finalizada;2400;2400;Não;Não;Não;Não;Sim;Não;Não;Não;03/04/2024;Não;Bulk
200;26001095;;CQ-7150 BULK;65167;20/03/2024;30/03/2024;Finalizada;2400;2400;Não;Não;Não;Não;Sim;Não;Não;Não;03/04/2024;Não;Bulk
200;26000954;;PHC8290/1 BULK;65170;20/03/2024;29/03/2024;Finalizada;3800;3800;Não;Não;Não;Não;Sim;Não;Não;Não;01/04/2024;Não;Bulk
200;26000955;;ADVANTRA® PHC9250 BULK;65171;20/03/2024;29/03/2024;Finalizada;3800;3800;Não;Não;Não;Não;Sim;Não;Não;Não;01/04/2024;Não;Bulk
200;26000641;;CQ-4133 BULK;65172;20/03/2024;30/03/2024;Finalizada;3800;3800;Não;Não;Não;Não;Sim;Não;Não;Não;02/04/2024;Não;Bulk
200;26000793;;CQ-7039/5 BULK;65185;20/03/2024;31/03/2024;Finalizada;2600;2600;Não;Não;Não;Não;Sim;Não;Não;Não;05/04/2024;Não;Bulk
200;26000795;;CQ-7039T BULK;65186;20/03/2024;31/03/2024;Finalizada;2600;2638;Não;Não;Não;Não;Sim;Não;Não;Não;08/04/2024;Não;Bulk
200;26000931;;HM-4995/1 BULK;65187;20/03/2024;28/03/2024;Finalizada;3800;3800;Não;Não;Não;Não;Sim;Não;Não;Não;03/04/2024;Não;Bulk
200;26000931;;HM-4995/1 BULK;65188;20/03/2024;28/03/2024;Finalizada;3800;3800;Não;Não;Não;Não;Sim;Não;Não;Não;03/04/2024;Não;Bulk
200;26001156;;Swift®tak 3715LA BULK;65236;26/03/2024;01/04/2024;Finalizada;5000;5040;Não;Não;Não;Não;Sim;Não;Não;Não;01/04/2024;Não;Bulk
200;26000469;;C-88 BULK;65237;26/03/2024;04/04/2024;Finalizada;10100;9975,27;Não;Não;Não;Não;Sim;Não;Não;Não;01/04/2024;Não;Bulk
200;26000293;;C-464 BULK;65238;26/03/2024;04/04/2024;Finalizada;2000;2008,25;Não;Não;Não;Não;Sim;Não;Não;Não;02/04/2024;Não;Bulk
200;26001129;;RAKOLL FC BULK;65239;26/03/2024;01/04/2024;Finalizada;3100;2915;Não;Não;Não;Não;Sim;Não;Não;Não;05/04/2024;Não;Bulk
