Ordem;TIPO;Emissão;Data Inicio;Data Término;Médio;Item;Referência;Estabelecimento;Linha;Tipo Controle;Grupo Estoque;Tipo Ordem;Custeio Mat.;Custeio GGF;Custeio MOB;Moeda;Conta Contabil;Centro de Custo;Qtde. Original;Qtde. Produzida;Data;Esp;Tipo Transação;Deposito;Série;Documento;Seq. Operação;Qtde Requisição/Reporte;Rendimentos kg;Rendimentos %;Valor Material;Valor GGF;Valor MOB;Item2;Referencia;Unidade Medida;NMB;Descrição;Preco Fiscal;Data Requisição/Reporte;Funcionário;Centro Custo;Grupo Maq;Hr. Reporte;Tempo Homem/Máquina;GGF/MOB Batch;Mob Dir;;
62.906;MAT;09/01/2024;15/01/2024;18/01/2024;31/03/2024;26000154;;200;4;2 - Total;30;Reaproveitamento;Total Requisitado;Total Requisitado;Total Requisitado;00 - ;1320000001;;4.100,0000;0,0000;01/04/2024;REQ;Sai;ALM;;AJUSTE;1;0,9300;0,0000;0,00%;0,0000;0,0000;0,0000;35007090;;KG;3;SERA PRINT M-SRB;0,0000;;;;;0,0000;0,0000;0,0000;;;
62.906;MAT;09/01/2024;15/01/2024;18/01/2024;31/03/2024;26000154;;200;4;2 - Total;30;Reaproveitamento;Total Requisitado;Total Requisitado;Total Requisitado;00 - ;1320000001;;4.100,0000;0,0000;01/04/2024;RRQ;Ent;ALM;;62906;1;0,9300;0,0000;0,00%;0,0000;0,0000;0,0000;35007090;;KG;3;SERA PRINT M-SRB;0,0000;01/04/2024;;;;0,0000;0,0000;0,0000;;;
63.532;MAT;29/01/2024;03/02/2024;03/02/2024;31/03/2024;26001169;;200;3;2 - Total;30;Interna;Total Requisitado;Total Requisitado;Total Requisitado;00 - ;1320000001;;6.100,0000;0,0000;01/04/2024;REQ;Sai;ALM;;AJUSTE;1;112,8400;0,0000;0,00%;0,0000;0,0000;0,0000;45040042;;KG;5;ÁGUA;0,0000;;;;;0,0000;0,0000;0,0000;;;
63.532;MAT;29/01/2024;03/02/2024;03/02/2024;31/03/2024;26001169;;200;3;2 - Total;30;Interna;Total Requisitado;Total Requisitado;Total Requisitado;00 - ;1320000001;;6.100,0000;0,0000;01/04/2024;RRQ;Ent;ALM;;63532;2;112,8400;0,0000;0,00%;0,0000;0,0000;0,0000;45040042;;KG;5;ÁGUA;0,0000;01/04/2024;;;;0,0000;0,0000;0,0000;;;
64.555;MAT;05/03/2024;11/03/2024;14/03/2024;31/03/2024;26000116;;200;4;2 - Total;30;Reaproveitamento;Total Requisitado;Total Requisitado;Total Requisitado;00 - ;1320000001;;10.100,0000;0,0000;11/03/2024;REQ;Sai;REP;;64555;1;800,0000;0,0000;0,00%;3.713,0400;5.358,6400;254,0800;16000333;;KG;0;C-2159 LQ BAR 50.00 KG;0,0000;;;;;0,0000;0,0000;0,0000;;;
64.555;MAT;05/03/2024;11/03/2024;14/03/2024;31/03/2024;26000116;;200;4;2 - Total;30;Reaproveitamento;Total Requisitado;Total Requisitado;Total Requisitado;00 - ;1320000001;;10.100,0000;0,0000;11/03/2024;REQ;Sai;REP;;64555;1;450,0000;0,0000;0,00%;2.088,5900;3.014,2400;142,9200;16000333;;KG;0;C-2159 LQ BAR 50.00 KG;0,0000;;;;;0,0000;0,0000;0,0000;;;
64.555;MAT;05/03/2024;11/03/2024;14/03/2024;31/03/2024;26000116;;200;4;2 - Total;30;Reaproveitamento;Total Requisitado;Total Requisitado;Total Requisitado;00 - ;1320000001;;10.100,0000;0,0000;11/03/2024;RRQ;Ent;REP;;64555;1;800,0000;0,0000;0,00%;3.713,0400;5.358,6400;254,0800;16000333;;KG;0;C-2159 LQ BAR 50.00 KG;0,0000;11/03/2024;;;;0,0000;0,0000;0,0000;;;
64.555;MAT;05/03/2024;11/03/2024;14/03/2024;31/03/2024;26000116;;200;4;2 - Total;30;Reaproveitamento;Total Requisitado;Total Requisitado;Total Requisitado;00 - ;1320000001;;10.100,0000;0,0000;11/03/2024;RRQ;Ent;REP;;64555;1;450,0000;0,0000;0,00%;2.088,5900;3.014,2400;142,9200;16000333;;KG;0;C-2159 LQ BAR 50.00 KG;0,0000;11/03/2024;;;;0,0000;0,0000;0,0000;;;
64.555;MAT;05/03/2024;11/03/2024;14/03/2024;31/03/2024;26000116;;200;4;2 - Total;30;Reaproveitamento;Total Requisitado;Total Requisitado;Total Requisitado;00 - ;1320000001;;10.100,0000;0,0000;11/03/2024;REQ;Sai;REP;;64555;1;160,0000;0,0000;0,00%;1.135,3100;612,7000;145,7800;16002267;;kg;0;C-528 LQ W004 BAR 5.00 KG;0,0000;;;;;0,0000;0,0000;0,0000;;;
64.555;MAT;05/03/2024;11/03/2024;14/03/2024;31/03/2024;26000116;;200;4;2 - Total;30;Reaproveitamento;Total Requisitado;Total Requisitado;Total Requisitado;00 - ;1320000001;;10.100,0000;0,0000;11/03/2024;RRQ;Ent;REP;;64555;1;160,0000;0,0000;0,00%;1.135,3100;612,7000;145,7800;16002267;;kg;0;C-528 LQ W004 BAR 5.00 KG;0,0000;11/03/2024;;;;0,0000;0,0000;0,0000;;;
