codigo item;descricao item
10000273;NP2075VF149 SD BAL 17.24 KG
10000321;ADVANTRA® PHC9250 PE CAI 17,24 KG
10000918;ST2211P-075BL 918 MFT/PLT
10001046;FULL-CARE 8500LZP PI CAI 14.00KG
10001276;EA6106 LQ LAT 1.00 KG
10001441;EH9650 SER 30 ML
10001449;FH8702 LQ COM SENSOR METALICO SER 30CC 30 ML
10001452;FH8706 LQ SER 300 ML
10001532;PHO3005LV PI BX 11.00 KG
10001926;FULL-CARE® 8510CNZP PI CAI 14.06 KG
10001960;LMT PS3406ZP BX 15 KG
10002427;SWIFT®BOND 2140 BK BAL 26.55 KG
10002521;FLEXTRA® R 408 LQ CPL 1.100 KG
10002536;FLEXTRA® R 408 LQ TAM 210.00 KG
10002656;9900N LQ N55D 225.00 KG
10002669;FLEXTRA® SF 6400 LQ CPL 2425 LB
10002678;FLEXTRA® SF 8050 LQ CPL 2425 LB
10002690;FLEXTRA® SF 8050 LQ BAL 20.00 KG
10002789;FLEXTRA® XR 1400 LQ BAL 40.00 LB
10002791;FLEXTRA® XR 1400 LQ TAM 450.00 LB
10002833;FLEXTRA® XR 1300 LQ TAM 450.00 LB
10003163;IPATHERM® WS 1255 PE SAC 14.00 KG
10003202;FULL CARE 7330N PI CAI 14.00 KG
10003551;BR750 PE CAI 17.24 KG
10003648;9500N BK 2.5 CAI 9.53 KG
10003655;PD8156HAX LQ CPL 1065.94 KG
10003742;HL9622770 SD SS5P FBL 18.14 KG
10004059;FLEXTRA® SB 104 LQ TAM 200.00 KG
10004063;FLEXTRA® SB 104 LQ BAL 20.00 KG
10004340;AS 3845 LQ CPL 1000 KG
10004361;5725ZP PI CAI 15.00 KG
10004398;CYBERBOND 9066 LQ B RD-N K-NNBL UL 15 G
10004400;FLEXTRA® SBA 1010 LQ TAM 210.00 KG
10004432;FLEXTRA® R 202 LQ  TAM 200.00 KG
10004433;HM 8229 E SV 40X14 KG
10004515;ADCOTHERM® HMC-7RC LQ BAL 18.18 KG
10004574;FULL-CARE® 8410LZP PI CAI 15.00 KG
10004603;CQ-4012 PE SAC 25.00 KG
10004623;CQ4196 PE BG 25.00 KG
10004648;CQ-752 SG BX 2.00 KG
10004847;HM8229E PI SAC 14.00 KG
10004882;AVA COMBI SPOUT PI CAI 12.00 KG
10005012;KOERAPUR 840 08 LQ 360ML-CT DL 540G
10005065;FULL-CARE® 6215LZP PI CAI 15.00 KG
10005096;CQ-4141 PI SAC 25.00 KG
10005098;IPACOLL® LP 2940 LQ BAL 30.00 KG
10005130;SWIFTTHERM 7148 SD SAC 13.00 KG
10005221;KPP330GRY LQ 310ML-CT CS 5.84KG
10005223;KPP330WHT LQ 600ML-SSG CS 11.30KG
10005224;KB-HG17 LQ 250ML-BT CS 2.85KG
10005354;FLEXTRA® PU 710 LQ BAL 20.00 KG
10005374;FLEXTRA® SBA 1010CH LQ TAM 210.00 KG
10005443;KOERAPUR925 WH LQ 600ML-SSG CS 10.36KG
10005444;KOERAPOP954 BK LQ 600ML-SSG 10.15KG
10005453;KPU 928 BK LG 600 ml -SSG 0.804 KG
10005456;SWIFT®BOND 3U-091LA LQ TAM 200.00 KG
10005520;KOERAPOP240 WHITE LQ 600ML-SSG 846 G
10005521;KOERAPOP240 BLACK LQ SSG 600 ML 846 G
10005551;IPACOLL® 2603 LQ BAL 20.00 KG
10005660;8400CLLZP PI CAI 15.00 KG
10005661;5202CLLZP PI CAI 15.00 KG
10005678;JM7752LZP PI CAI 15.00 KG
10005679;JM5782LZP PI CAI 15.00 KG
10005707;IPACOLL® 2603 LQ BAL 30.00 KG
10005713;JM8767LZP PI CAI 15.00 KG
10005717;SWIFT LOCK 2020 SD SS5PNR FBL 18.14 KG
10005736;Flextra(tm) WD6318LM LQ CS 4 5LRC 23.14 KG
10005755;8220NZP PI BX 14.00 KG
10005859;SI120 LQ B OV-N-PC-BL L 100 G
10006446;CQ-675/3 AR PE CAI 15.00 KG
10006541;CONFORMA XP 28225A CAI 22,68 KG
10006673;FLEXTRA® SB 120 LQ TAM 200.00 KG
10006702;FLEXTRA® R 204 LQ LAT 1.00 KG
10006703;SWIFTBOND 3U091 LA LQ BAL 20.00 KG
10006778;FLEXTRA® XAS 2020 LQ BAL 20.00 KG
10006779;FLEXTRA® XAS 2020 LQ CPL 1.000 KG
10006790;FLEXTRA® SBA 1010 LQ BAL 20.00 KG
10006791;FLEXTRA® SBA 1010 LQ CPL 1.000 KG
10006814;CQ3061 PI BX 15.00 KG
10006821;8220-LZP ESS PI BX 15.00 KG
10006823;IPACOLL 2603 LQ TIBC 1000.00 KG
10006831;7810LZP PI BX 15.00 KG
10006958;FULL CARE 5256 PI CAI 15.00 KG
10007410;FULL-CARE® 9500 CAI 11,34 KG
10007459;3H194ZP PI CAI 14.06 KG
10007695;PARACRYL® PC8417 LQ SAC 3.63 KG
10007733;PARACRYL® PC8364 LQ SAC 3.63 KG
10007820;RAKOLL TE 5700 BRANCO PE SAC 25.00 KG
10008023;SWIFT TAK 5122AN LQ BAL 20.00 KG
10008131;4956FL LQ 30P 25.00 KG
10008250;PARACRYL® PC3003 LQ SAC 3.99 KG
10008263;Swift®lock 2U388-1N SD BAL 17.69 KG
10008396;CQ-4196 PE CAI 17.00 KG
10008570;FULL CARE® 5945 PI CAI 15.00 KG
10008610;PARACRYL® PC3110 LQ SAC 3.99 KG
10008772;CQ4012 PE BG 25.00 KG
10009292;POLYESTER 71 LQ 55DBH 204.11 KG
10009297;8220LZP PI BX 15.00 KG
10009423;9401PNA LQ PT1P 3.86 KG
10009424;9401PNA LQ PT5P 19.28 KG
10009425;9401PNA LQ N55PD KG 208.65 KG
10009435;9403PNA LQ PT1P 3.86 KG
10009436;9403PNA LQ PT5P 19.28 KG
10009474;6217LZP PI CAI 15.00 KG
10009550;9401NA LQ BAL 19.28 KG
10009555;9403NA LQ BAL 19.28 KG
10009587;KÖRAPOP 225 2K CNZ C/ KÖRACUR 310N 20 MIN CART. 490ML
10009592;KORAPOP 225 BLACK SAL 600 ML
10009595;TONSAN® 1527T LQ CAR 310 ML
10009657;FLEXTRA® XAS 2020 LQ TAM 200.00 KG
10009691;FULL CARE® 5246 PI CAI 15.00 KG
10009729;KODISIL 110T LQ SAL 400 ML
10010059;KPO 225 2K WH LQ 490ML-CT CS 4.23KG
10010071;CILBOND® 65W LQ BAL 25.00 L
10010158;Full-Care® 5125-LZP PI CAI 15.00 KG
10010354;9500N PE BX 17.24 KG
10010362;Swift®hardener 9151 BLACK LQ LAT 1.08 KG
10010402;6098 LQ 310ML CT 465.00 G
10010472;PC3110 LQ N55PD 208.65 KG
10010522;IPACOLL 2603 LQ CPP 1000.00 KG
10010548;Swift®bond PU22203 PARTE B LQ BAL 25.93 KG
10010634;Swift®bond PU22203 PARTE A LQ BAL 25.93 KG
10010637;PU22219A LQ ST5P 25.93 KG
10010642;PU22219B LQ ST5P 25.93 KG
10010792;9500E PR 40x13 BG 13KG
10010892;Swift®tak 5159 LQ BAL 30.00 KG
10010912;Full-Care® 7885LZP PI CAI 15.00 KG
10011257;EPOCAP43648 LQ 20SP 20.41 KG
10011303;HL1434ELZP PI BX 15.00 KG
10011429;D7214L ZP PI CAI 15.00 KG
10011501;IPACOLL 2603 LQ OT 1000.00 KG
10011619;HydroArmor8800BL LQ MDR 208.2 KG
10011906;CIL49SF LQ 25L-MCAN 22.87 KG
10011960;8068L ZP PI BX 15.00 KG
10012239;Full-Care 5162AZP PI BX 20KG
10012589;PC3110 LQ PT5P 19.96 KG
10012708;FULL-CARE 6191AZP PI BX 20KG
10013140;KPO 220 gn JD 15 x 400ML-SSG 9,66 KG
10013253;HM1952 PI BX 13.50 KG
10013277;KPO 220 GN JD 12 x 300ML-CT 5,8 KG
10013353;2023 LQ 18X30 PBU 30KG
10013403;TX701 SD SSN55D ML 192.78 KG
10013404;TX701 SD ST5P 20.41 KG
10013487;4660 SD SS5PNR FBL 18.14 KG
10013499;3650/UFP RL 1297x400 0.40KG/EA
10013505;2064 LQ PT5P 25.00 KG
10013520;CIL R-7035 10L MDR 9.54KG
10013523;2060 LQ PT5P 25.00 KG
10014364;2401-149 CT 0.30 KG
10014632;INL XP 28794-066 PL LQ 18X23BU 23KG
10014656;BAMFUTURA 1 PE SAC 20.00 KG
10015095;MP-55420BR L C DL-W 490ML 548.8 G
15000278;HM1580 PE MBG 22.68 KG
15000468;HL6431C PI CAI 14.06 KG
15000527;PN3759ZX LQ TAM 208.65 KG
15000547;FP1280A LQ ST5P 17.24 KG
15000549;FP1280B LQ ST5P 23.13 KG
15000573;FLEXTRA® FAST WD-4120 LQ CPL 1100.00 KG
15000583;PD0312 LQ N55FD 226.80 KG
15000609;PD0166 LQ N55PD 226.80 KG
15000847;CYBERBOND 2077 LQ FRA 50 G
15001454;Flextra(tm) WD4051 LQ CGT 1020.58 KG
15001456;FLEXTRA® WD4051 LQ 18.14 KG
15001552;PHC9255 PI BX 12.70 KG
15001568;NP4134M LQ BAL 19.05 KG
15001713;PN3759K LQ TAM 208.65 KG
15001805;PHL4170ZP 1.1LB PI BX 14.06 KG
15002078;PHF-0979 PE CAI 500.00 KG
15002094;NP2075VF149 SD BAL 15.42 KG
15002102;PHL4150ZP 1.1LB PI BX 14.06 KG
15002344;TT5050B LQ N55FD 217.72 KG
15002547;HL1461EZP PI CAI 14.00 KG
15003169;HL5240 BL CAI 14.97 KG
15004187;SWIFT® TAK RP289 LQ BAL 20.41 KG
15004324;SWIFT®LOCK 2U388-1N SD TAM 204.12 KG
15004769;48503 LQ PT5P 20.41 KG
15005982;CYBERBOND Z396 LQ FRA 20 G
15005986;CYBERBOND 2000 CLEAR LQ FRA 20 G
15005994;CYBERBOND 2002 CLEAR LQ FRA 20 G
15005998;CYBERBOND 2003 CLEAR LQ FRA 20 G
15006003;CYBERBOND 2004 CLEAR LQ FRA 20 G
15006009;CYBERBOND 2006 CLEAR LQ FRA 20 G
15006013;CYBERBOND 2008 LQ FRA 20 G
15006014;CYBERBOND 2010 CLEAR LQ FRA 20 G
15006019;CYBERBOND 2014 CLEAR LQ FRA 20 G
15006024;CYBERBOND 2025 CLEAR LQ FRA 20 G
15006030;CYBERBOND 2028  LQ FRA 454 G
15006032;CYBERBOND 2038 LQ B RD-W YK-NB L 454 G
15006042;CYBERBOND 2077 LQ FRA 20 G
15006048;CYBERBOND 2150 CLEAR LQ FRA 20 G
15006054;CYBERBOND 2240-05 LQ FRA 20 G
15006057;CYBERBOND 2240-05 LQ FRA 50 G
15006060;CYBERBOND 2240 CLEAR LQ FRA 20 G
15006067;2241-05 LQ B RD-N K-YYB L 20 G
15006069;2241-05 LQ B RD-W YK-NB L 454 G
15006070;CYBERBOND 2241 PRETO LQ FRA 20 G
15006072;2241 LQ B RD-N SM-N L 2000 G
15006074;2241 LQ B RD-N K-YYB L 50 G
15006081;CYBERBOND 2400 CLEAR LQ FRA 20 G
15006088;CYBERBOND 2999 LQ FRA 20 G
15006093;CYBERBOND 5005 CLEAR LQ FRA 20 G
15006096;CYBERBOND 5008 LQ FRA 20 G
15006097;CYBERBOND 5008 LQ FRA 454G
15006099;5008 LQ B RD-N K-YYB L 50 G
